id,a,b,c
1156,0.98,6.26,z
1157,0.25,6.27,y
1158,0.02,6.77,y
1159,0.22,2.58,x
1160,0.12,5.44,x
1161,0.39,6.9,z
1162,0.08,4.63,y
1163,0.28,3.72,z
1164,0.57,6.95,y
1165,0.33,5.25,y
1166,0.94,6.63,x
1167,0.38,4.14,y
1168,0.95,0.98,y
1169,0.27,5.8,y
1170,0.69,1.85,z
1171,0.14,1.83,x
1172,0.81,2.13,x
1173,0.76,5.93,y
1174,0.44,4.94,y
1175,0.46,5.84,y
1176,0.68,3.74,x
1177,0.07,7.38,x
1178,0.65,4.69,x
1179,0.79,5.77,x
1180,0.22,7.16,z
1181,0.04,4.37,x
1182,0.38,5.67,z
1183,0.34,3.38,z
1184,0.45,6.31,y
1185,0.39,6.44,y
1186,0.92,6.52,x
1187,0.17,5.11,z
1188,0.15,4.73,y
1189,0.61,3.12,y
1190,0.02,3.65,x
1191,0.07,2.56,z
1192,0.78,9.54,x
1193,0.94,3.48,z
1194,0.21,5.82,y
1195,0.64,4.84,y
1196,0.33,7.02,y
1197,0.96,6.49,y
1198,0.82,4.8,x
1199,0.74,5.14,x
1200,0.22,3.39,z
1201,0.05,5.08,y
1202,0.37,5.28,y
1203,0.74,7.49,z
1204,0.93,3.48,x
1205,0.67,8.66,y
1206,0.7,6.63,z
1207,0.85,5.3,y
1208,0.71,6.72,y
1209,0.86,2.65,x
1210,0.45,4.4,y
1211,0.68,5.13,z
1212,0.13,4.64,z
1213,0.74,2.2,x
1214,0.07,4.41,y
1215,0.28,4.86,x
1216,0.41,1.38,z
1217,0.94,4.83,y
1218,0.98,5.46,z
1219,0.04,7.56,y
1220,0.59,2.2,y
1221,0.03,2.69,z
1222,0.57,6.57,x
1223,0.1,1.97,z
1224,0.63,4.97,x
1225,0.82,6.87,z
1226,0.35,2.55,y
1227,0.13,2.33,y
1228,0.08,6.29,y
1229,0.35,3.68,z
1230,1,8.02,z
1231,0.53,3.34,y
1232,0.34,6.83,z
1233,0.31,5.56,x
1234,0.38,6.92,y
1235,0.02,6.44,z
1236,0.04,2.45,y
1237,0.88,6.74,z
1238,0.4,6.74,z
1239,0.47,6.65,y
1240,0.4,1.34,z
1241,0.7,6.26,z
1242,0.4,2.87,x
1243,0.5,6.14,z
1244,0.04,7.73,y
1245,0.3,5.29,z
1246,0.96,8.19,x
1247,0.54,6.02,y
1248,0.96,6.26,y
1249,0.79,2.83,z
1250,0.75,6.3,z
1251,0.07,7.83,x
1252,0.14,5.21,x
1253,0.12,4.02,x
1254,0.76,5.47,x
1255,0.9,4.38,z
1256,0.4,1.02,x
1257,0.18,5.2,x
1258,0.37,7.84,z
1259,0.51,6.53,x
1260,0.91,7.29,y
1261,0.08,4.39,y
1262,0.11,5.37,z
1263,0.75,5.28,y
1264,0.3,3.61,x
1265,0.72,4.92,z
1266,0.23,7.74,z
1267,0.39,5.45,x
1268,0.51,3.9,x
1269,0.94,2.92,y
1270,0.06,6.46,z
1271,0.3,7.13,z
1272,0.24,3.91,y
1273,0.39,5.13,x
1274,0.76,7.14,z
1275,0.86,5.4,y
1276,0.68,1.87,z
1277,0.68,3.33,y
1278,0.17,8.79,y
1279,0.8,4.23,z
1280,0.71,4.89,x
1281,0.93,7.29,z
1282,0.01,6.28,x
1283,0.6,10.16,y
1284,0.37,3.87,y
1285,0.74,3.23,x
1286,0.76,5.69,y
1287,0.26,4.78,x
1288,0.25,9.52,x
1289,0.68,3.37,y
1290,0.49,2.04,z
1291,0.38,6.23,x
1292,0.06,3.15,z
1293,0.9,7.24,y
1294,0.8,5.55,y
1295,0.48,4.73,y
1296,0.03,3.47,y
1297,0.51,6.21,y
1298,0.37,8.61,y
1299,0.5,6.21,x
1300,0.4,2.1,z
1301,0.02,7.69,z
1302,0.52,4.78,x
1303,0.16,5.69,y
1304,0.21,3.98,y
1305,0.98,9.38,y
1306,0.97,7.15,y
1307,0.76,3.35,x
1308,0.08,6.43,z
1309,0.52,6.63,x
1310,0.6,5.55,x
1311,0.44,3.7,y
1312,0,9.45,z
1313,0.44,1.52,y
1314,0.5,7.94,y
1315,0.67,5.54,z
1316,0.69,6.18,y
1317,0.78,2.48,y
1318,0.14,3.39,x
1319,0.16,6.08,x
1320,0.76,4.66,y
1321,0.44,4.24,z
1322,0.63,5.56,y
1323,0.1,8.8,z
1324,0.84,3.07,z
1325,0.33,5.63,y
1326,0.2,4.15,z
1327,0.69,5.39,y
1328,0.17,3.77,x
1329,0.07,8.43,z
1330,0.04,5.8,z
1331,0.85,4.99,y
1332,0.37,6.94,y
1333,0.88,5.03,y
1334,0.09,5.31,y
1335,0.5,5.74,x
1336,0.75,6.59,z
1337,0.61,4.16,y
1338,0.53,6.21,y
1339,0.91,3.75,x
1340,0.99,4.05,y
1341,0.28,3.56,z
1342,0.12,5.63,y
1343,0.17,6.39,y
1344,0.88,8.32,x
1345,0.12,3.82,x
1346,0.3,3.64,y
1347,0.16,5.28,x
1348,0.07,5.02,z
1349,0.24,5.17,x
1350,0.72,5.62,z
1351,0.65,5.15,x
1352,0.08,5.17,x
1353,0.17,2.84,x
1354,0.15,1.98,x
1355,0.39,5.25,y
1356,0.23,7.06,z
1357,0.56,5.46,y
1358,0.58,4.81,z
1359,0.1,6.04,y
1360,0.16,4.93,z
1361,0.92,4.68,y
1362,0.86,3.98,z
1363,0.9,3.02,x
1364,0.12,2.84,y
1365,0.04,3.92,z
1366,0.59,6.34,x
1367,0.31,6.6,y
1368,0.56,7.8,y
1369,0.35,4.13,x
1370,0.14,4.3,z
1371,0.57,5.72,x
1372,0.33,3.72,z
1373,0.12,6.18,x
1374,0.26,4.19,y
1375,0.35,4.8,z
1376,0.83,7.79,z
1377,0.78,7.34,y
1378,0.94,1.59,y
1379,0.84,5.89,y
1380,0.15,4.15,y
1381,0.59,2.41,y
1382,0.82,8.28,y
1383,0.63,1.87,z
1384,0.47,5.41,x
1385,0.26,-0.4,z
1386,0.02,5.13,y
1387,0.33,4.54,y
1388,0.22,6.48,x
1389,0.88,5.29,z
1390,0.68,7.04,x
1391,0.53,3.19,y
1392,0.56,4.62,x
1393,0.25,2.84,x
1394,0.01,3.81,x
1395,0.95,4.64,y
1396,0.72,4.07,x
1397,0.28,5.48,x
1398,0.74,4.07,x
1399,0.87,6.42,z
1400,0.38,7.27,x
1401,0.72,3.18,y
1402,0.24,5.87,x
1403,0.65,2.26,z
1404,0.98,5.3,z
1405,0.38,6.06,z
1406,0.46,5.49,z
1407,0.81,2.88,z
1408,0.49,6.95,z
1409,0.05,5.34,z
1410,0.13,5.33,z
1411,0.16,7.66,y
1412,0.09,2.13,x
1413,0.4,5.7,y
1414,0.06,4.57,z
1415,0.56,3.02,z
1416,0.34,5.51,x
1417,0.54,4.29,z
1418,0.91,6.04,x
1419,0.39,4.2,x
1420,0.96,3.54,y
1421,0.38,4.93,z
1422,0.94,4.59,z
1423,0.68,3.02,y
1424,0.9,3.73,z
1425,0.25,3.64,y
1426,0.41,5.98,z
1427,0.01,7.69,z
1428,0.11,4.66,z
1429,0.5,6.31,x
1430,0.37,4.62,x
1431,0.81,2.07,z
1432,0.01,4.39,x
1433,0.84,7.75,x
1434,0.38,4.47,x
1435,0.39,8.74,y
1436,0.95,2.79,x
1437,0.48,0.42,y
1438,0.55,4.6,y
1439,0.93,5.06,z
1440,0.86,3.59,y
1441,0.26,6.63,x
1442,0.69,7.96,z
1443,0.45,6.49,z
1444,0.22,3.27,x
1445,0.69,11.04,x
1446,0.96,6.96,x
1447,0.26,5.75,x
1448,0.47,7.93,x
1449,0.32,9.29,x
1450,0.16,3.75,y
1451,0.71,5.6,x
1452,0.53,5.09,x
1453,0.23,1.55,x
1454,0.06,5.36,z
1455,0.68,7.17,z
1456,0.81,4,y
1457,0.12,5.18,y
1458,0.69,5.23,x
1459,0.02,8.87,y
1460,0.36,4.88,x
1461,0.73,4.78,z
1462,0.31,6.86,x
1463,0.45,1.36,z
1464,0.83,2.59,x
1465,0.33,4.39,z
1466,0.14,5.24,z
1467,0.3,5.64,x
1468,0.16,4.77,y
1469,0.84,5.53,x
1470,0.66,3.98,z
1471,0.14,0.75,x
1472,0.33,2.55,y
1473,0.83,6.19,x
1474,0.72,6.58,x
1475,0.15,7.53,y
1476,0.42,7.4,y
1477,0.45,7,z
1478,0.88,2.52,y
1479,0.41,6.95,y
1480,0.69,2.47,z
1481,0.72,1.06,z
1482,0.01,3.62,z
1483,0.04,2.85,y
1484,0.09,2.7,x
1485,0.4,2.29,y
1486,0.9,4.96,z
1487,0.44,3.02,z
1488,0.76,2.64,z
1489,0.71,5.37,y
1490,0.17,2.42,z
1491,0.87,5.96,x
1492,0.09,3.12,z
1493,0.16,7.42,y
1494,0.85,3.68,z
1495,0.63,3.29,x
1496,0.21,6.22,x
1497,0.67,3.09,z
1498,0.96,2.28,x
1499,0.88,5.11,x
1500,0.96,2.59,y
1501,0.46,7.14,x
1502,0.07,7.87,x
1503,0.87,4.89,x
1504,0.2,7.33,y
1505,0.53,10.2,y
1506,0.11,5.68,z
1507,0.38,6.1,z
1508,0.75,5.96,z
1509,0.7,4.8,y
1510,0.1,2.22,y
1511,0.61,5.22,x
1512,0.02,4.61,z
1513,0.65,5.45,y
1514,0.98,5.47,y
1515,0.84,6.14,z
1516,0.84,8.08,y
1517,0.39,3.7,z
1518,0.79,5.59,x
1519,0.41,3.86,y
1520,0.25,6.92,z
1521,0.42,7.22,z
1522,0.5,7.25,z
1523,0.86,2.98,z
1524,0.73,4.78,z
1525,0.97,6.47,y
1526,0.1,5.65,y
1527,0.83,5.37,x
1528,0.45,6.5,z
1529,0.85,5.86,y
1530,0.57,8.64,z
1531,0.96,7.6,x
1532,0.73,7.91,x
1533,0.28,1.29,x
1534,0.74,7.65,y
1535,0.07,5.02,z
1536,0.9,2.88,y
1537,0.13,3.12,y
1538,0.56,6.41,y
1539,0.6,2.25,y
1540,0.13,2.32,z
1541,0.51,1.67,z
1542,0.37,3.94,z
1543,0,3.29,y
1544,0.05,7.36,x
1545,0.88,4.28,z
1546,0.82,4.71,x
1547,0.41,5.76,z
1548,0.92,4,y
1549,0.48,1.74,y
1550,0.47,2.85,y
1551,0.66,5.06,x
1552,0.16,1.91,z
1553,0.1,3.97,z
1554,0.86,2.06,y
1555,0.24,2.6,y
1556,0.56,1.89,y
1557,0.85,5.49,y
1558,0.35,5.03,y
1559,0.98,7.69,z
1560,0.87,2.99,x
1561,0.75,4.7,z
1562,0.22,3.41,x
1563,0.77,5.84,x
1564,0.87,4.83,z
1565,0.04,4.53,z
1566,0.2,7.14,x
1567,0.85,6.19,z
1568,0.65,4.55,x
1569,0.87,8.79,y
1570,0.81,4.58,z
1571,0.36,5.41,x
1572,0.09,6.3,z
1573,0.57,7.83,x
1574,0.65,2.99,z
1575,0.82,4.07,x
1576,0.46,2.67,y
1577,0.98,5.02,z
1578,0.75,8.3,x
1579,0.13,5.5,z
1580,0.22,5.99,y
1581,0.85,6.77,y
1582,0.47,3.98,y
1583,0.92,6.06,y
1584,0.92,9.26,x
1585,0.82,4.53,y
1586,0.57,4.33,x
1587,0.62,0.71,x
1588,0.79,4.98,x
1589,0.44,7.82,z
1590,0.4,2.34,z
1591,0.57,5.55,y
1592,0.15,4.97,z
1593,0.81,5.92,x
1594,0.5,7.21,x
1595,0.14,6.43,z
1596,0.11,5.61,y
1597,0.11,3.81,z
1598,0,3.8,z
1599,0.24,7.79,x
1600,0.88,4.22,z
1601,0.08,4.69,z
1602,0.14,5.86,y
1603,0.05,5.57,x
1604,0.03,3.45,z
1605,0.92,7.38,z
1606,0.84,3.44,y
1607,0.18,8.59,z
1608,0.5,4.55,z
1609,0.31,6.02,y
1610,0.27,5.06,z
1611,0.13,5.99,z
1612,0.43,9.3,z
1613,0.7,6.58,x
1614,0.34,7.76,z
1615,0.7,12.14,z
1616,0.84,6.66,x
1617,0.88,-0.99,y
1618,0.77,1.92,z
1619,0.32,3.55,x
1620,0.04,3.88,y
1621,0.89,10.27,y
1622,0.64,2.2,x
1623,0.55,5.71,z
1624,0.77,6.85,z
1625,0.1,4.87,y
1626,0.75,2.42,z
1627,0.88,5.18,z
1628,0.01,3.99,x
1629,0.93,3.6,x
1630,0.41,4.64,y
1631,0.79,6.46,y
1632,0.98,5.27,z
1633,0.33,2.88,z
1634,0.79,7.52,y
1635,0.09,7.41,z
1636,0.04,4.91,x
1637,0.51,3.39,x
1638,0.05,7.75,x
1639,0.09,5.95,y
1640,0.69,0.25,x
1641,0.03,4.74,z
1642,0.43,4.59,x
1643,0.76,4.37,z
1644,0.83,6.97,z
1645,0.38,5.04,x
1646,0.62,5.78,x
1647,0.34,6.25,x
1648,0.53,8.65,x
1649,0.26,3.57,y
1650,0.57,5.11,x
1651,0.91,6.75,z
1652,0.57,4.64,x
1653,0.06,4.53,y
1654,0.1,5.2,z
1655,0.33,3.01,z
1656,0.99,5.7,y
1657,0.71,3.13,y
1658,0.08,8.19,z
1659,0.61,6.57,z
1660,0.49,3.53,z
1661,0.27,4.85,z
1662,0.29,6.05,x
1663,0.48,6.74,y
1664,0.96,5.65,y
1665,0.42,4.13,z
1666,0.84,5.74,z
1667,0.95,6.68,y
1668,0.29,2.43,x
1669,0.54,5.6,x
1670,0.58,7.29,z
1671,0.26,-0.07,y
1672,0.88,6.15,x
1673,0.88,5.49,x
1674,0.99,7.69,x
1675,0.1,7.08,x
1676,0.62,5.59,y
1677,0.7,5.89,z
1678,0.15,7.16,x
1679,0.89,3.74,y
1680,0.16,4.55,z
1681,0.12,4.34,x
1682,0.98,3.37,x
1683,0.63,5.74,x
1684,0.02,5.13,y
1685,0.83,7.23,y
1686,1,1.53,x
1687,0.87,3.51,y
1688,0.4,5.86,y
1689,0.94,9.02,x
1690,0.32,5.87,z
1691,0.97,4.44,x
1692,0.56,2.44,y
1693,0.58,4.63,y
1694,0.82,7.74,x
1695,0.2,3.24,x
1696,0.62,4.11,y
1697,0.22,8.96,y
1698,0.03,6.72,y
1699,0.76,5.02,y
1700,0.64,6.4,y
1701,0.06,8.4,x
1702,0.67,4.51,x
1703,0.69,5.96,x
1704,0.75,5.9,y
1705,0.12,6.79,y
1706,0.15,2.35,z
1707,0.18,3.79,x
1708,0.01,5.07,z
1709,0.63,6.69,z
1710,0.37,2.35,y
1711,0.28,7.17,y
1712,0.17,3.19,y
1713,0.2,7.21,z
1714,0.22,3.62,x
1715,0.25,3.49,y
1716,0.17,5.94,x
1717,0.92,3.1,y
1718,0.35,5.11,y
1719,0.09,4.88,y
1720,0.38,1.34,x
1721,0.54,2.51,y
1722,0.79,5.47,x
1723,0.32,3.06,z
1724,0.84,3.52,y
1725,1,4.89,z
1726,0.21,3.26,x
1727,0.44,7.52,y
1728,0.38,0.84,y
1729,0.97,7.13,z
1730,0.64,7.1,x
1731,0.81,2.57,y
1732,0.92,7.29,y
1733,0.06,0.94,z
1734,0.48,2.73,z
1735,0.7,4.16,x
1736,0.04,7.41,x
1737,0.76,3.66,y
1738,0.59,2.78,z
1739,0.51,3.47,y
1740,0.45,7.7,y
1741,0.03,6.97,z
1742,0.96,2.24,z
1743,0.99,2.49,y
1744,0.63,4.18,z
1745,0.43,4.34,x
1746,0.27,5.19,y
1747,0.08,3.56,z
1748,0.33,4.93,z
1749,0.89,4.63,z
1750,0.31,4.71,x
1751,0.4,5.37,y
1752,0.57,4.48,z
1753,0.6,4.4,y
1754,0.57,0.31,y
1755,0.22,2.04,x
1756,0.82,4.62,y
1757,0.04,2.35,x
1758,0.63,2.95,y
1759,0.43,5.37,z
1760,0.36,1.74,z
1761,0.77,4.75,z
1762,0.17,2.12,y
1763,0.49,1.49,z
1764,0.74,5.63,z
1765,0.51,6.07,z
1766,0.48,6.21,z
1767,0.59,4.68,y
1768,0.57,3.35,z
1769,0.65,3.6,z
1770,0.87,6.14,z
1771,0.4,1.4,x
1772,0.96,7.15,x
1773,0.38,6.59,x
1774,0.17,5.04,x
1775,0.23,6.39,y
1776,0.95,8.32,x
1777,0.08,6.78,z
1778,0.19,7.04,z
1779,0.07,2.12,z
1780,0.61,7.61,z
1781,0.22,2.44,z
1782,0.59,4.14,y
1783,0.23,5.05,x
1784,0.39,6.26,y
1785,0.35,4.11,y
1786,0.92,7.19,x
1787,0.11,5.34,x
1788,0.25,2.96,x
1789,0.19,4.18,z
1790,0.75,4.07,y
1791,0.93,6.81,y
1792,0.49,3.61,y
1793,0.64,3.61,z
1794,0.18,5.23,y
1795,0.6,0.45,x
1796,0.89,5.75,z
1797,0.49,4.06,z
1798,0.02,7.9,z
1799,0.18,1.63,z
1800,0.3,6.16,z
1801,0.28,5.94,y
1802,0.06,6.38,y
1803,0.36,8.34,y
1804,0.58,5.34,y
1805,0.54,3.67,z
1806,0.6,2.54,x
1807,0.49,5.01,z
1808,0.13,2.94,y
1809,0.96,4.82,z
1810,0.74,6.81,z
1811,0.37,3.62,z
1812,0.15,3.55,y
1813,0.23,1.74,x
1814,0.75,4.29,z
1815,0.05,2.35,z
1816,0.59,6.28,x
1817,0.16,3.58,y
1818,0.76,7.06,x
1819,1,6.04,x
1820,0.17,3.69,x
1821,0.62,8.1,y
1822,0.54,5.38,z
1823,0.82,2.82,y
1824,0.32,5.33,x
1825,0.58,5.31,y
1826,0.07,4.01,z
1827,0.57,4.35,x
1828,0.56,3,x
1829,0.43,1.51,x
1830,0.96,3.3,z
1831,0.71,2.6,y
1832,0.26,2.93,z
1833,0.93,5.62,x
1834,0.42,2.63,z
1835,0.82,1.99,x
1836,0.75,5.1,x
1837,0.41,5.28,x
1838,0.51,8.76,z
1839,0.54,3.78,x
1840,0.97,5.26,x
1841,0.07,7.29,y
1842,0.77,3.07,x
1843,0.87,4.01,y
1844,0.99,5.49,x
1845,0.97,5.59,z
1846,0.64,9.68,y
1847,0.07,4.36,y
1848,0.13,8.31,z
1849,0.49,2.5,x
1850,0.66,1.92,z
1851,0.19,5.82,z
1852,0.18,4.98,y
1853,0.12,5.45,z
1854,0.16,6.33,z
1855,0.86,5.68,y
1856,0.42,5.94,z
1857,0.88,3.94,z
1858,0.82,5.22,z
1859,0.98,3.14,z
1860,0.63,3.79,z
1861,0.69,5.9,y
1862,0.79,3.65,x
1863,0.03,5.93,z
1864,0.82,2.99,x
1865,0.69,3.45,z
1866,0.43,3.8,z
1867,0.24,5.79,z
1868,0.01,4.55,y
1869,0.42,4.09,x
1870,0.43,6.93,x
1871,0.6,3.12,z
1872,0.98,6.22,y
1873,0.53,4.95,z
1874,0.52,3.88,x
1875,0.79,3.1,y
1876,0.09,6.06,y
1877,0.26,3.41,x
1878,0.36,6.38,x
1879,0.25,7.96,x
1880,0.18,1.32,z
1881,0.57,7.03,y
1882,0.48,3.87,z
1883,0.81,5.92,y
1884,0.75,3.05,x
1885,0.35,4.59,z
1886,0.81,2.2,y
1887,0.25,5,y
1888,0.59,4.09,x
1889,0.16,5.98,z
1890,0.18,4.98,y
1891,0.23,6.03,y
1892,0.79,7.78,y
1893,0.39,6.39,y
1894,0.91,6.38,y
1895,0.12,5.68,z
1896,0.99,3.66,x
1897,0.76,6.44,z
1898,0.31,6.18,y
1899,0.02,5.01,x
1900,0.68,1.11,y
1901,0.44,6.64,x
1902,0.88,2.91,z
1903,0.07,3.45,z
1904,0.45,4.16,x
1905,0.89,3.8,x
1906,0.7,3.25,z
1907,0.3,5.8,x
1908,0.58,3.72,x
1909,0.87,5.19,y
1910,0.45,5.67,z
1911,0.34,4.8,y
1912,0.57,4.34,y
1913,0.42,7.75,z
1914,0.83,5.23,x
1915,0.15,2.95,x
1916,0.66,5.69,z
1917,0,1.24,y
1918,0.32,3.98,z
1919,0.95,4.86,y
1920,0.01,7.61,x
1921,0.08,4.61,x
1922,0.21,4.72,z
1923,0.99,0.43,y
1924,0.49,5.07,y
1925,0.63,3.03,x
1926,0.01,3.34,z
1927,0.29,5.77,z
1928,0.99,3.11,y
1929,0.76,6.95,z
1930,0.07,4.57,z
1931,0.81,4.14,x
1932,0.12,5.9,z
1933,0.41,5.93,z
1934,0.93,6.09,z
1935,0.55,9.19,x
1936,0.01,4.85,y
1937,0.97,2.86,y
1938,0.77,5.05,x
1939,0.08,3.38,x
1940,0.37,2.5,z
1941,0.48,11.34,z
1942,0.68,4.14,x
1943,0.79,7.47,y
1944,0.81,3.91,z
1945,0.08,3.01,x
1946,0.17,5.79,z
1947,0.04,4.5,y
1948,0.24,6.57,z
1949,0.91,7.41,z
1950,0,7.42,z
1951,0.23,4.8,x
1952,0.17,3.93,z
1953,0.15,5.16,z
1954,0.65,5.88,x
1955,0.49,3.03,z
1956,0.69,4.69,x
1957,0.29,6.61,y
1958,0.98,2.12,y
1959,0.29,8.1,x
1960,0.53,4.23,x
1961,0.08,6.39,x
1962,0.68,2.16,z
1963,0.18,4.57,y
1964,0.53,2.9,x
1965,0.8,7.18,x
1966,0.31,3.03,x
1967,0.69,6.02,y
1968,0.77,5.91,y
1969,0.26,3.28,x
1970,0.68,6.33,x
1971,0.99,6.84,x
1972,0.55,4.87,x
1973,0.93,2.55,z
1974,0.21,8.49,x
1975,0.23,3.55,x
1976,0.48,8.04,z
1977,0.46,7.33,x
1978,0.78,3.34,y
1979,0,6.06,y
1980,0.75,7.08,x
1981,0.83,5.05,x
1982,0.31,3.91,x
1983,0.71,4.81,x
1984,0.25,6.6,y
1985,0.31,6.47,x
1986,0.99,4.18,y
1987,0.42,8.72,y
1988,0.85,6.01,x
1989,0.53,3.81,y
1990,0.55,8.82,z
1991,0.85,9.39,z
1992,0.38,3.95,y
1993,0.17,4.95,x
1994,0.19,7.91,y
1995,0.86,2.71,x
1996,0.34,5.55,z
1997,0.78,6.15,z
1998,0.07,1.85,x
1999,0.24,6.75,y
2000,0.24,5.28,x
2001,0.39,6.18,y
2002,0.87,4.73,x
2003,0.97,6.77,x
2004,0.87,4.42,z
2005,0.44,6.13,z
2006,0.19,3.55,x
2007,0.08,8.67,x
2008,0.58,6.46,z
2009,0.07,6.03,z
2010,0.53,5.53,x
2011,0.47,3.8,z
2012,0.05,4.14,y
2013,0.59,4.85,x
2014,0.79,5.72,y
2015,0.6,6.22,x
2016,0.03,2.97,y
2017,0.4,1.35,z
2018,0.11,6.57,z
2019,0.02,8.22,z
2020,0.84,7.88,z
2021,0.33,7.28,y
2022,0.29,7.52,z
2023,0.82,4.57,x
2024,0.41,4.62,y
2025,0.01,1.45,y
2026,0.05,7.85,y
2027,0.73,4.12,z
2028,0.07,4.55,y
2029,0.07,5.35,x
2030,0.64,8.02,x
2031,0.41,2.19,x
2032,0.43,5.02,z
2033,0.08,3.9,z
2034,0.28,3.69,x
2035,0.79,1.69,x
2036,0.09,5.57,x
2037,0.28,5.3,x
2038,0.14,5.46,y
2039,0.66,6.2,y
2040,0.98,5.47,y
2041,0.21,8.79,x
2042,0.37,3.5,y
2043,0.12,4.51,x
2044,0.78,3.34,z
2045,0.07,3.77,x
2046,0.78,6.65,z
2047,0.12,3.76,z
2048,0.78,5.24,x
2049,0.36,4.84,z
2050,0.62,3.93,z
2051,0.92,4.92,z
2052,0.11,3.58,y
2053,0.72,4.67,x
2054,0.16,3.62,x
2055,0.26,3.03,x
2056,0.77,4.45,y
2057,0.59,6.37,y
2058,0.1,4.28,x
2059,0.16,6.74,y
2060,0.7,7.57,y
2061,0.27,2.45,x
2062,0.3,4.8,z
2063,0.56,4.99,x
2064,0.35,3.11,x
2065,1,5.3,x
2066,0.21,7.46,y
2067,0.59,2.47,x
2068,0.41,2.2,x
2069,0.54,5.29,z
2070,0.81,3.38,x
2071,0.01,4.8,y
2072,0.67,6.96,x
2073,0.88,5.51,x
2074,0.41,5.98,x
2075,0.89,7.28,y
2076,0.81,4.72,z
2077,0.05,6.71,y
2078,0.95,6.04,z
2079,0.5,6.64,y
2080,0.5,5.64,z
2081,0.2,6.24,x
2082,0.68,7.49,z
2083,0.55,5.33,x
2084,0.61,1.47,y
2085,0.31,8.8,x
2086,0.16,4.7,z
2087,0.85,4.99,x
2088,0.18,2.07,z
2089,0.59,5.74,y
2090,0.97,3.8,y
2091,0.53,10.55,z
2092,0.81,3.41,x
2093,0.65,4.31,z
2094,0.77,5.42,z
2095,0.03,7.08,y
2096,0.56,9.09,y
2097,0.12,4.75,z
2098,0.69,6.52,z
2099,0.91,8.94,y
2100,0.56,5.6,y
2101,0.58,5.82,z
2102,0.52,3.56,y
2103,0.66,7.44,y
2104,0.59,5.16,x
2105,0.08,7.58,y
2106,0.16,5.45,y
2107,0.99,7.85,z
2108,0.99,4.27,x
2109,0.29,9.13,x
2110,0.79,5.62,x
2111,0.69,4.14,z
2112,0.4,4.59,y
2113,0.4,8.04,y
2114,0.89,6.01,z
2115,0.82,3.15,y
2116,0.27,4.89,z
2117,0.18,4.68,x
2118,0.96,4.31,y
2119,0.84,6,z
2120,0.35,5,x
2121,0.84,3.26,y
2122,0.01,4.19,z
2123,0.21,4.99,z
2124,0.91,2.83,x
2125,0.05,5.78,z
2126,0.87,5.97,z
2127,0.66,4.23,z
2128,0.22,6.65,x
2129,0.01,0.58,x
2130,0.08,4.95,x
2131,0.77,6.84,y
2132,0.03,2.08,y
2133,0.77,2.84,y
2134,0.39,7.27,x
2135,0.78,4.64,y
2136,0.03,7.1,z
2137,0.37,5.88,z
2138,0.21,8.8,x
2139,0.97,4.75,x
2140,0.56,4.91,z
2141,0.44,1.28,x
2142,0.8,10.11,x
2143,0.17,4.09,y
2144,0.21,4.61,z
2145,0.35,5.9,z
2146,0.45,3,y
2147,0.1,4.94,y
2148,0.6,2.84,x
2149,0.1,5.44,x
2150,0.96,7.56,y
2151,0.58,6.35,x
2152,0.17,3.92,y
2153,0.52,6.47,x
2154,0.05,6.81,z
2155,0.3,5.43,z
2156,0.03,3.28,z
2157,0.41,4.23,z
2158,0.71,2.4,z
2159,0.44,5.1,z
2160,0.48,5.04,y
2161,0.38,5.79,z
2162,0.78,5.55,y
2163,0.96,3.44,y
2164,0.44,4.21,y
2165,0.28,5.38,z
2166,0.65,3.49,z
2167,0.75,2.43,y
2168,0.59,5.36,y
2169,0.37,2.3,x
2170,0.51,6.28,z
2171,0.14,3.15,z
2172,0.27,6.71,x
2173,0.17,2.07,y
2174,0.9,2.92,z
2175,0.56,4.13,x
2176,0.34,6.8,x
2177,0.28,7.2,z
2178,0.75,2.37,z
2179,0.56,1.17,z
2180,0.57,6.21,y
2181,0.63,3.36,z
2182,0.96,4.63,y
2183,0.77,7.57,y
2184,0.76,4.85,z
2185,0.15,2.42,y
2186,0.37,4.78,x
2187,0.91,6.67,x
2188,0.5,5.2,x
2189,0.03,4.18,z
2190,0.45,2.17,x
2191,0.03,4.23,z
2192,0.02,4.13,y
2193,0.87,2.68,z
2194,0.96,5.88,x
2195,0.89,4.48,z
2196,0.86,6.33,x
2197,0.12,6.03,x
2198,0.22,7.65,x
2199,0.69,5.33,y
2200,0.65,4.29,y
2201,0.09,5.74,x
2202,0.6,6.84,x
2203,0.94,6.17,z
2204,0.13,6.96,z
2205,0.52,5.95,x
2206,0.93,4.27,z
2207,0.44,3.44,x
2208,0.4,4.15,y
2209,0.37,9.63,x
2210,0.57,5.98,z
2211,0.11,5.7,y
2212,0.66,6.74,x
2213,0.8,6.3,y
2214,0.16,6.51,z
2215,0.5,5.6,y
2216,0.14,3.98,x
2217,0.69,4.84,x
2218,0.48,6.41,y
2219,0.21,5.04,z
2220,0.72,0.61,x
2221,0.33,5.81,y
2222,0.53,6.82,y
2223,0.59,1.59,x
2224,0.76,5,z
2225,0.04,9.04,z
2226,0.63,2.76,y
2227,0.17,2.81,y
2228,0.71,3.37,x
2229,0.26,1.91,z
2230,0.08,8.69,x
2231,0.71,5.19,x
2232,0.75,8.23,x
2233,0.17,4.58,z
2234,0.21,3.72,z
